coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,format,type,subtype,rights,Owner,creator,UsageTerms,WebStatement,caption,comments,tag,providerManagedID,MetadataDate,associatedSpecimenReference,metadataLanguage
26833671,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0518000/BRIT518255.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0518000/BRIT518255.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0518000/BRIT518255_thumb.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0518000/BRIT518255_med.jpg,image/jpeg,StillImage,Photograph,http://creativecommons.org/publicdomain/zero/1.0/,"Botanical Research Institute of Texas",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:b559219b-52a0-46f7-9c30-621c9bdcb94e,"2020-10-16 16:30:48",https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=26833671,en
26833694,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0518000/BRIT518579.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0518000/BRIT518579.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0518000/BRIT518579_thumb.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0518000/BRIT518579_med.jpg,image/jpeg,StillImage,Photograph,http://creativecommons.org/publicdomain/zero/1.0/,"Botanical Research Institute of Texas",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:2ceef8a7-9925-4f04-80ca-16280b15f950,"2020-10-16 16:30:48",https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=26833694,en
26834767,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0518000/BRIT518626.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0518000/BRIT518626.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0518000/BRIT518626_thumb.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0518000/BRIT518626_med.jpg,image/jpeg,StillImage,Photograph,http://creativecommons.org/publicdomain/zero/1.0/,"Botanical Research Institute of Texas",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:136fc965-ba19-42e4-95a1-00ba7271f055,"2020-10-16 16:30:51",https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=26834767,en
26834781,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0518000/BRIT518627.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0518000/BRIT518627.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0518000/BRIT518627_thumb.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0518000/BRIT518627_med.jpg,image/jpeg,StillImage,Photograph,http://creativecommons.org/publicdomain/zero/1.0/,"Botanical Research Institute of Texas",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:e72ffa96-e9c9-418d-b5ad-ab47d293ceb6,"2020-10-16 16:30:51",https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=26834781,en
26834909,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0516000/BRIT516851.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0516000/BRIT516851.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0516000/BRIT516851_thumb.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0516000/BRIT516851_med.jpg,image/jpeg,StillImage,Photograph,http://creativecommons.org/publicdomain/zero/1.0/,"Botanical Research Institute of Texas",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:e68dc12f-e351-41f0-93fe-f898273be1e1,"2020-10-16 16:30:51",https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=26834909,en
26834935,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0516000/BRIT516849.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0516000/BRIT516849.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0516000/BRIT516849_thumb.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0516000/BRIT516849_med.jpg,image/jpeg,StillImage,Photograph,http://creativecommons.org/publicdomain/zero/1.0/,"Botanical Research Institute of Texas",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:97943624-683b-412d-b449-d566006e2a1a,"2020-10-16 16:30:51",https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=26834935,en
26834988,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0518000/BRIT518878.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0518000/BRIT518878.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0518000/BRIT518878_thumb.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0518000/BRIT518878_med.jpg,image/jpeg,StillImage,Photograph,http://creativecommons.org/publicdomain/zero/1.0/,"Botanical Research Institute of Texas",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:7b3c5900-33bb-4170-9aac-d5ace3e79293,"2020-10-16 16:30:51",https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=26834988,en
26834990,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0518000/BRIT518913.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0518000/BRIT518913.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0518000/BRIT518913_thumb.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0518000/BRIT518913_med.jpg,image/jpeg,StillImage,Photograph,http://creativecommons.org/publicdomain/zero/1.0/,"Botanical Research Institute of Texas",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:780e6eba-3a8f-4301-b577-5a59f51b60cb,"2020-10-16 16:30:51",https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=26834990,en
26835000,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0518000/BRIT518879.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0518000/BRIT518879.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0518000/BRIT518879_thumb.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0518000/BRIT518879_med.jpg,image/jpeg,StillImage,Photograph,http://creativecommons.org/publicdomain/zero/1.0/,"Botanical Research Institute of Texas",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:e4dfc0ba-e2c7-44b0-85e7-585ac9699f70,"2020-10-16 16:30:51",https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=26835000,en
26835007,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0518000/BRIT518880.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0518000/BRIT518880.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0518000/BRIT518880_thumb.jpg,https://web.corral.tacc.utexas.edu/torch/BRIT/BRIT0518000/BRIT518880_med.jpg,image/jpeg,StillImage,Photograph,http://creativecommons.org/publicdomain/zero/1.0/,"Botanical Research Institute of Texas",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",,,,,urn:uuid:b872d84d-1a6b-414f-a0c2-b5b3c57e3b90,"2020-10-16 16:30:51",https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=26835007,en
